Ministry_Contact,Sampling_Agency,Project,Work_Order_number,Location_ID,Location_Name,LocationType,Location_Latitude,Location_Longitude,Location_Elevation,Location_Elevation_Units,Location_Group,Field_Visit_Start_Time,Field_Visit_End_Time,Field_Visit_Participants,Field_Comment,Activity_Comment,Field_Filtered,Field_Filtered_Comment,Field_Preservative,Field_Device_ID,Field_Device_Type,Sampling_Context_Tag,Collection_Method,Medium,Taxonomy,Depth_Upper,Depth_Lower,Depth_Unit,Observed_Date_Time,Observed_Date_Time_End,Observed_Property_ID,CAS_Number,Result_Value,Method_Detection_Limit,Method_Reporting_Limit,Result_Unit,Detection_Condition,Limit_Type,Composite_Stat,Fraction,Data_Classification,Analyzing_Agency,Analysis_Method,Analyzed_Date_Time,Result_Status,Result_Grade,Activity_Name,Tissue_Type,Lab_Arrival_Temperature,Specimen_Name,Lab_Quality_Flag,Lab_Arrival_Date_Time,Lab_Prepared_Date_Time,Lab_Sample_ID,Lab_Dilution_Factor,Lab_Comment,Lab_Batch_ID,QC_Type,QC_Source_Activity_Name,Validation_Warnings,Standards_Violation
Danny St.Hilaire,"52 - Southern Region, Penticton",BC Lake Monitoring Network,50261832,E303413,CHILLIWACK LAKE NEAR CENTRE OF THE NORTH 1/2 OF LAKE,LAKE OR POND,49.076764,-121.436211,2040.0,m,BC Lake Monitoring Network (BCLMN),2023-08-22T08:45:00.000-08:00,2023-08-22T09:00:00.000-08:00,Danny St. Hilaire,,Generated activity from observation import file E303413.csv.0_dd95c796-e152-4e3a-8802-a0ad4c2161db.csv,false,,,,Field: Device Type,,GRB,Water - Fresh,,25,45,m,2023-08-22 09:00:00.000-08:00,2023-08-22T09:15:00.000-08:00,"vanadium (V), total (fl. conc.)",7440-62-2,0.0002,0.0002,,mg/l,NOT_DETECTED,,,TOTAL,LAB,ALS,METN;MET-T-NP-CCMS-VA;US EPA,2023-08-25 00:00:00.000-08:00,Preliminary,Ungraded,4161473,,5,Metals,,2023-08-23 11:00:00.000-08:00,,,,"Lab Batch ID: VA23B9685 EMS Result ID: 39227164 , Lab comments if any:",,,,,
Danny St.Hilaire,"52 - Southern Region, Penticton",BC Lake Monitoring Network,50258725,E303413,CHILLIWACK LAKE NEAR CENTRE OF THE NORTH 1/2 OF LAKE,LAKE OR POND,49.076764,-121.436211,2040.0,m,BC Lake Monitoring Network (BCLMN),2022-08-17T08:30:00.000-08:00,2022-08-17T08:45:00.000-08:00,DSH,,Generated activity from observation import file E303413.csv.0_dd95c796-e152-4e3a-8802-a0ad4c2161db.csv,false,,,,Field: Device Type,,GRB,Water - Fresh,,1,7,m,2022-08-17 08:30:00.000-08:00,2022-08-17T08:45:00.000-08:00,"cobalt (Co), total (fl. conc.)",7440-48-4,0.0000112,0.000005,,mg/l,,,,TOTAL,LAB,ALS,METN;MET-T-NP-CCMS-VA;US EPA,2022-08-24 00:00:00.000-08:00,Preliminary,Ungraded,3947880,,0,Metals,,2022-08-18 11:00:00.000-08:00,,,,"Lab Batch ID: VA22B9378 EMS Result ID: 35274985 , Lab comments if any:",,,,,
Danny St.Hilaire,"52 - Southern Region, Penticton",BC Lake Monitoring Network,50257108,E303413,CHILLIWACK LAKE NEAR CENTRE OF THE NORTH 1/2 OF LAKE,LAKE OR POND,49.076764,-121.436211,2040.0,m,BC Lake Monitoring Network (BCLMN),2022-03-29T09:15:00.000-08:00,2022-03-29T09:30:00.000-08:00,Danny St. Hilaire,,Generated activity from observation import file E303413.csv.0_dd95c796-e152-4e3a-8802-a0ad4c2161db.csv,false,,,,Field: Device Type,,GRB,Water - Fresh,,20,45,m,2022-03-29 09:30:00.000-08:00,2022-03-29T09:45:00.000-08:00,"carbon, organic, dissolved (DOC) (fl. conc.)",-,1.07,0.5,,mg/l,,,,DISSOLVED,LAB,ALS,X067;TOC Analyzer;EMS Migration,2022-04-05 00:00:00.000-08:00,Preliminary,Ungraded,3865411,,3,Carbon,,2022-03-30 12:00:00.000-08:00,,,,"Lab Batch ID: VA22A6536 EMS Result ID: 33606543 , Lab comments if any:",,,,,
Michelle Meier,74 - Permittee,BC Lake Monitoring Network,50232598,E303413,CHILLIWACK LAKE NEAR CENTRE OF THE NORTH 1/2 OF LAKE,LAKE OR POND,49.076764,-121.436211,2040.0,m,BC Lake Monitoring Network (BCLMN),2017-09-14T00:00:00.000-08:00,,MICHELLE MEIER,M407,Generated activity from observation import file E303413.csv.0_dd95c796-e152-4e3a-8802-a0ad4c2161db.csv,false,,,,Field: Device Type,,GRB,Water - Fresh,,1,10,m,2017-09-14 00:00:00.000-08:00,,"chloride (Cl⁻), dissolved (fl. conc.)",16887-00-6,0.5,0.5,,mg/l,NOT_DETECTED,,,DISSOLVED,LAB,ALS,X044;Ion Chromatography;EMS Migration,2017-09-17 00:00:00.000-08:00,Preliminary,Ungraded,3163152,,9,Major Ions,,2017-09-14 00:00:00.000-08:00,,,,"Lab Batch ID: L1991748 EMS Result ID: 23217749 , Lab comments if any:",,,,Statistical Outlier: 0.5 mg/l >= P95 (0.5 mg/l),
Danny St.Hilaire,74 - Permittee,BC Lake Monitoring Network,50247824,E303413,CHILLIWACK LAKE NEAR CENTRE OF THE NORTH 1/2 OF LAKE,LAKE OR POND,49.076764,-121.436211,2040.0,m,BC Lake Monitoring Network (BCLMN),2020-08-20T09:15:00.000-08:00,2020-08-20T09:30:00.000-08:00,Danny St. Hilaire,W576-577/ N100/ T398/ TC,Generated activity from observation import file E303413.csv.0_dd95c796-e152-4e3a-8802-a0ad4c2161db.csv,false,,,,Field: Device Type,,GRB,Water - Fresh,,1,9,m,2020-08-20 09:15:00.000-08:00,2020-08-20T09:30:00.000-08:00,Specific Conductance (elec. cond.),-,23.6,2,,µS/cm,,,,,LAB,ALS,XM10;Meter;EMS Migration,2020-08-25 00:00:00.000-08:00,Preliminary,Ungraded,3602959,,3,Uncategorized,,2020-08-21 11:35:00.000-08:00,,,,"Lab Batch ID: L2492409 EMS Result ID: 29816135 , Lab comments if any:",,,,,
Danny St.Hilaire,"52 - Southern Region, Penticton",BC Lake Monitoring Network,50257108,E303413,CHILLIWACK LAKE NEAR CENTRE OF THE NORTH 1/2 OF LAKE,LAKE OR POND,49.076764,-121.436211,2040.0,m,BC Lake Monitoring Network (BCLMN),2022-03-29T09:15:00.000-08:00,2022-03-29T09:30:00.000-08:00,Danny St. Hilaire,,Generated activity from observation import file E303413.csv.0_dd95c796-e152-4e3a-8802-a0ad4c2161db.csv,false,,,,Field: Device Type,,GRB,Water - Fresh,,20,45,m,2022-03-29 09:30:00.000-08:00,2022-03-29T09:45:00.000-08:00,"carbon, organic, total (TOC) (fl. conc.)",-,1.05,0.5,,mg/l,,,,TOTAL,LAB,ALS,X067;TOC Analyzer;EMS Migration,2022-04-05 00:00:00.000-08:00,Preliminary,Ungraded,3865411,,3,Carbon,,2022-03-30 12:00:00.000-08:00,,,,"Lab Batch ID: VA22A6536 EMS Result ID: 33606538 , Lab comments if any:",,,,,
Danny St.Hilaire,74 - Permittee,BC Lake Monitoring Network,50241373,E303413,CHILLIWACK LAKE NEAR CENTRE OF THE NORTH 1/2 OF LAKE,LAKE OR POND,49.076764,-121.436211,2040.0,m,BC Lake Monitoring Network (BCLMN),2019-04-04T09:30:00.000-08:00,2019-04-04T09:45:00.000-08:00,Danny St.Hilaire,W379/ N259/ M323/ TC,Generated activity from observation import file E303413.csv.0_dd95c796-e152-4e3a-8802-a0ad4c2161db.csv,false,,,,Field: Device Type,,GRB,Water - Fresh,,15,40,m,2019-04-04 09:45:00.000-08:00,2019-04-04T10:00:00.000-08:00,"nitrogen, ammonia (NH₃ as N), total (fl. conc.)",7664-41-7,0.005,0.005,,mg/l,NOT_DETECTED,,,TOTAL,LAB,ALS,NH3F;NH3-F-VA;EMS Migration,2019-04-18 00:00:00.000-08:00,Preliminary,Ungraded,3375009,,3,Nutrients,,2019-04-05 08:50:00.000-08:00,,,,"Lab Batch ID: L2254123 EMS Result ID: 26440528 , Lab comments if any:",,,,Statistical Outlier: 0.005 mg/l >= P95 (0.005 mg/l),
Maxwell Hoyer,"52 - Southern Region, Penticton",BC Lake Monitoring Network,50254999,E303413,CHILLIWACK LAKE NEAR CENTRE OF THE NORTH 1/2 OF LAKE,LAKE OR POND,49.076764,-121.436211,2040.0,m,BC Lake Monitoring Network (BCLMN),2021-08-18T09:00:00.000-08:00,2021-08-18T09:15:00.000-08:00,Danny St. Hilaire,,Generated activity from observation import file E303413.csv.0_dd95c796-e152-4e3a-8802-a0ad4c2161db.csv,false,,,,Field: Device Type,,GRB,Water - Fresh,,20,45,m,2021-08-18 09:15:00.000-08:00,2021-08-18T09:30:00.000-08:00,"aluminum (Al), total (fl. conc.)",7429-90-5,0.0115,0.0005,,mg/l,,,,TOTAL,LAB,ALS,METT;MET-T-NP-BCMOE-MS-VA;US EPA,2021-08-24 00:00:00.000-08:00,Preliminary,Ungraded,3767288,,3,Metals,,2021-08-19 12:00:00.000-08:00,,,,"Lab Batch ID: VA21B7592 EMS Result ID: 32247907 , Lab comments if any:",,,,,
Lyndsey Johnson,74 - Permittee,BC Lake Monitoring Network,50236467,E303413,CHILLIWACK LAKE NEAR CENTRE OF THE NORTH 1/2 OF LAKE,LAKE OR POND,49.076764,-121.436211,2040.0,m,BC Lake Monitoring Network (BCLMN),2018-05-15T11:15:00.000-08:00,2018-05-15T11:27:00.000-08:00,Lyndsey Johnson,M421,Generated activity from observation import file E303413.csv.0_dd95c796-e152-4e3a-8802-a0ad4c2161db.csv,false,,,,Field: Device Type,,GRB,Water - Fresh,,2,10,m,2018-05-15 11:15:00.000-08:00,,"arsenic (As), dissolved (fl. conc.)",7440-38-2,0.000114,0.00002,,mg/l,,,,DISSOLVED,LAB,ALS,X562;Dissolved metals: FF- FA- HNO3- HR-ICPMS;US EPA,2018-05-29 00:00:00.000-08:00,Preliminary,Ungraded,3252774,,7,Metals,,2018-05-16 08:20:00.000-08:00,,,,"Lab Batch ID: L2095393 EMS Result ID: 24628301 , Lab comments if any:",,,,,
Danny St.Hilaire,"52 - Southern Region, Penticton",BC Lake Monitoring Network,50260656,E303413,CHILLIWACK LAKE NEAR CENTRE OF THE NORTH 1/2 OF LAKE,LAKE OR POND,49.076764,-121.436211,2040.0,m,BC Lake Monitoring Network (BCLMN),2023-04-17T11:45:00.000-08:00,2023-04-17T12:00:00.000-08:00,Danny St. Hilaire,,Generated activity from observation import file E303413.csv.0_dd95c796-e152-4e3a-8802-a0ad4c2161db.csv,false,,,,Field: Device Type,,GRB,Water - Fresh,,20,45,m,2023-04-17 12:00:00.000-08:00,2023-04-17T12:15:00.000-08:00,"sodium (Na), total (fl. conc.)",7440-23-5,0.95,0.02,,mg/l,,,,TOTAL,LAB,ALS,METN;MET-T-NP-CCMS-VA;US EPA,2023-04-20 00:00:00.000-08:00,Preliminary,Ungraded,4076632,,3,Metals,,2023-04-18 11:15:00.000-08:00,,,,"Lab Batch ID: VA23A8323 EMS Result ID: 37595776 , Lab comments if any:",,,,,
Diane Sutherland,74 - Permittee,BC Lake Monitoring Network,50226519,E303413,CHILLIWACK LAKE NEAR CENTRE OF THE NORTH 1/2 OF LAKE,LAKE OR POND,49.076764,-121.436211,2040.0,m,BC Lake Monitoring Network (BCLMN),2016-09-07T10:30:00.000-08:00,2016-09-07T11:00:00.000-08:00,Diane Sutherland,,Generated activity from observation import file E303413.csv.0_dd95c796-e152-4e3a-8802-a0ad4c2161db.csv,false,,,,Field: Device Type,,GRB,Water - Fresh,,30,50,m,2016-09-07 11:00:00.000-08:00,,"hardness, total (as CaCO₃) (fl. conc.)",-,9.68009,,,mg/l,,,,TOTAL,LAB,ALS,CS01;System Calculation;EMS Migration,2016-09-07 11:16:00.000-08:00,Preliminary,Ungraded,3036624,,10,Major Ions,,2016-09-07 00:00:00.000-08:00,,,,"Lab Batch ID:  EMS Result ID: 21343178 , Lab comments if any:",,,,,
Danny St.Hilaire,"52 - Southern Region, Penticton",BC Lake Monitoring Network,50260656,E303413,CHILLIWACK LAKE NEAR CENTRE OF THE NORTH 1/2 OF LAKE,LAKE OR POND,49.076764,-121.436211,2040.0,m,BC Lake Monitoring Network (BCLMN),2023-04-17T11:45:00.000-08:00,2023-04-17T12:00:00.000-08:00,Danny St. Hilaire,,Generated activity from observation import file E303413.csv.0_dd95c796-e152-4e3a-8802-a0ad4c2161db.csv,false,,,,Field: Device Type,,GRB,Water - Fresh,,1,7,m,2023-04-17 11:45:00.000-08:00,2023-04-17T12:00:00.000-08:00,"nitrogen, ammonia (NH₃ as N), total (fl. conc.)",7664-41-7,0.005,0.005,,mg/l,NOT_DETECTED,,,TOTAL,LAB,ALS,NH3F;NH3-F-VA;EMS Migration,2023-04-24 00:00:00.000-08:00,Preliminary,Ungraded,4076633,,3,Nutrients,,2023-04-18 11:15:00.000-08:00,,,,"Lab Batch ID: VA23A8323 EMS Result ID: 37595797 , Lab comments if any:",,,,Statistical Outlier: 0.005 mg/l >= P95 (0.005 mg/l),
Danny St.Hilaire,"52 - Southern Region, Penticton",BC Lake Monitoring Network,50258725,E303413,CHILLIWACK LAKE NEAR CENTRE OF THE NORTH 1/2 OF LAKE,LAKE OR POND,49.076764,-121.436211,2040.0,m,BC Lake Monitoring Network (BCLMN),2022-08-17T08:30:00.000-08:00,2022-08-17T08:45:00.000-08:00,DSH,,Generated activity from observation import file E303413.csv.0_dd95c796-e152-4e3a-8802-a0ad4c2161db.csv,false,,,,Field: Device Type,,GRB,Water - Fresh,,1,7,m,2022-08-17 08:30:00.000-08:00,2022-08-17T08:45:00.000-08:00,"calcium (Ca), total (fl. conc.)",7440-70-2,2.83,0.01,,mg/l,,,,TOTAL,LAB,ALS,METN;MET-T-NP-CCMS-VA;US EPA,2022-08-24 00:00:00.000-08:00,Preliminary,Ungraded,3947880,,0,Metals,,2022-08-18 11:00:00.000-08:00,,,,"Lab Batch ID: VA22B9378 EMS Result ID: 35274983 , Lab comments if any:",,,,Statistical Outlier: 2.83 mg/l < P5 (2.84 mg/l),
Michelle Meier,74 - Permittee,BC Lake Monitoring Network,,E303413,CHILLIWACK LAKE NEAR CENTRE OF THE NORTH 1/2 OF LAKE,LAKE OR POND,49.076764,-121.436211,2040.0,m,BC Lake Monitoring Network (BCLMN),2017-09-14T00:00:00.000-08:00,,MICHELLE MEIER,M407,,,,,,Field: Device Type,,GRB,Water - Fresh,,1,,m,2017-09-14 00:00:00.000-08:00,,"Specific Conductance, Field (elec. cond.)",,23.3,,,µS/cm,,,,,FIELD,,,2017-09-14 00:00:00.000-08:00,Preliminary,Ungraded,,,,,,,,,,,,,,,
Danny St.Hilaire,74 - Permittee,BC Lake Monitoring Network,50241373,E303413,CHILLIWACK LAKE NEAR CENTRE OF THE NORTH 1/2 OF LAKE,LAKE OR POND,49.076764,-121.436211,2040.0,m,BC Lake Monitoring Network (BCLMN),2019-04-04T09:30:00.000-08:00,2019-04-04T09:45:00.000-08:00,Danny St.Hilaire,W379/ N259/ M323/ TC,Generated activity from observation import file E303413.csv.0_dd95c796-e152-4e3a-8802-a0ad4c2161db.csv,false,,,,Field: Device Type,,GRB,Water - Fresh,,1,10,m,2019-04-04 09:30:00.000-08:00,2019-04-04T09:45:00.000-08:00,"selenium (Se), total (fl. conc.)",7782-49-2,0.00004,0.00004,,mg/l,NOT_DETECTED,,,TOTAL,LAB,ALS,X561;Total metals: FA- HNO3- HR-ICPMS (No Prep)Prep);US EPA,2019-04-10 00:00:00.000-08:00,Preliminary,Ungraded,3375010,,3,Metals,,2019-04-05 08:50:00.000-08:00,,,,"Lab Batch ID: L2254123 EMS Result ID: 26440637 , Lab comments if any:",,,,,
Danny St.Hilaire,"52 - Southern Region, Penticton",BC Lake Monitoring Network,50258725,E303413,CHILLIWACK LAKE NEAR CENTRE OF THE NORTH 1/2 OF LAKE,LAKE OR POND,49.076764,-121.436211,2040.0,m,BC Lake Monitoring Network (BCLMN),2022-08-17T08:30:00.000-08:00,2022-08-17T08:45:00.000-08:00,DSH,,Generated activity from observation import file E303413.csv.0_dd95c796-e152-4e3a-8802-a0ad4c2161db.csv,false,,,,Field: Device Type,,GRB,Water - Fresh,,20,45,m,2022-08-17 08:45:00.000-08:00,2022-08-17T09:00:00.000-08:00,"bismuth (Bi), total (fl. conc.)",7440-69-9,0.000005,0.000005,,mg/l,NOT_DETECTED,,,TOTAL,LAB,ALS,METN;MET-T-NP-CCMS-VA;US EPA,2022-08-24 00:00:00.000-08:00,Preliminary,Ungraded,3947879,,0,Metals,,2022-08-18 11:00:00.000-08:00,,,,"Lab Batch ID: VA22B9378 EMS Result ID: 35274931 , Lab comments if any:",,,,Statistical Outlier: 5.0E-6 mg/l >= P95 (5.0E-6 mg/l),
Diane Sutherland,74 - Permittee,BC Lake Monitoring Network,50226519,E303413,CHILLIWACK LAKE NEAR CENTRE OF THE NORTH 1/2 OF LAKE,LAKE OR POND,49.076764,-121.436211,2040.0,m,BC Lake Monitoring Network (BCLMN),2016-09-07T10:30:00.000-08:00,2016-09-07T11:00:00.000-08:00,Diane Sutherland,Chloro a filtered vol : 1L,Generated activity from observation import file E303413.csv.0_dd95c796-e152-4e3a-8802-a0ad4c2161db.csv,false,,,,Field: Device Type,,GRB,Water - Fresh,,1,9,m,2016-09-07 10:30:00.000-08:00,,"nitrogen, nitrate (NO₃⁻) + nitrite (NO₂⁻), dissolved (N+N) (fl. conc.)",14797-55-8 & 14797-65-0,0.0285,0.0032,,mg/l,,,,DISSOLVED,LAB,ALS,X044;Ion Chromatography;EMS Migration,2016-09-14 00:00:00.000-08:00,Preliminary,Ungraded,3036623,,10,Nutrients,,2016-09-07 12:00:00.000-08:00,,,,"Lab Batch ID: L1825179 EMS Result ID: 21343150 , Lab comments if any:",,,,,
Danny St.Hilaire,74 - Permittee,BC Lake Monitoring Network,50241373,E303413,CHILLIWACK LAKE NEAR CENTRE OF THE NORTH 1/2 OF LAKE,LAKE OR POND,49.076764,-121.436211,2040.0,m,BC Lake Monitoring Network (BCLMN),2019-04-04T09:30:00.000-08:00,2019-04-04T09:45:00.000-08:00,Danny St.Hilaire,W379/ N259/ M323/ TC,Generated activity from observation import file E303413.csv.0_dd95c796-e152-4e3a-8802-a0ad4c2161db.csv,false,,,,Field: Device Type,,GRB,Water - Fresh,,15,40,m,2019-04-04 09:45:00.000-08:00,2019-04-04T10:00:00.000-08:00,"chloride (Cl⁻), dissolved (fl. conc.)",16887-00-6,0.5,0.5,,mg/l,NOT_DETECTED,,,DISSOLVED,LAB,ALS,X044;Ion Chromatography;EMS Migration,2019-04-05 00:00:00.000-08:00,Preliminary,Ungraded,3375009,,3,Major Ions,,2019-04-05 08:50:00.000-08:00,,,,"Lab Batch ID: L2254123 EMS Result ID: 26440532 , Lab comments if any:",,,,Statistical Outlier: 0.5 mg/l >= P95 (0.5 mg/l),
Lyndsey Johnson,74 - Permittee,BC Lake Monitoring Network,50236467,E303413,CHILLIWACK LAKE NEAR CENTRE OF THE NORTH 1/2 OF LAKE,LAKE OR POND,49.076764,-121.436211,2040.0,m,BC Lake Monitoring Network (BCLMN),2018-05-15T11:15:00.000-08:00,2018-05-15T11:27:00.000-08:00,Lyndsey Johnson,M421,Generated activity from observation import file E303413.csv.0_dd95c796-e152-4e3a-8802-a0ad4c2161db.csv,false,,,,Field: Device Type,,GRB,Water - Fresh,,0,0,m,2018-05-15 11:15:00.000-08:00,,"strontium (Sr), total (fl. conc.)",7440-24-6,0.00005,0.00005,,mg/l,NOT_DETECTED,,,TOTAL,LAB,ALS,X561;Total metals: FA- HNO3- HR-ICPMS (No Prep)Prep);US EPA,2018-05-29 00:00:00.000-08:00,Preliminary,Ungraded,3252776,,7,Metals,,2018-05-16 08:20:00.000-08:00,,,,"Lab Batch ID: L2095393 EMS Result ID: 24628423 , Lab comments if any:",,BLANK,,,
Danny St.Hilaire,"52 - Southern Region, Penticton",BC Lake Monitoring Network,50261832,E303413,CHILLIWACK LAKE NEAR CENTRE OF THE NORTH 1/2 OF LAKE,LAKE OR POND,49.076764,-121.436211,2040.0,m,BC Lake Monitoring Network (BCLMN),2023-08-22T08:45:00.000-08:00,2023-08-22T09:00:00.000-08:00,Danny St. Hilaire,,Generated activity from observation import file E303413.csv.0_dd95c796-e152-4e3a-8802-a0ad4c2161db.csv,false,,,,Field: Device Type,,GRB,Water - Fresh,,1,10,m,2023-08-22 08:45:00.000-08:00,2023-08-22T09:00:00.000-08:00,"thallium (Tl), total (fl. conc.)",7440-28-0,0.0000021,0.000002,,mg/l,,,,TOTAL,LAB,ALS,METT;MET-T-NP-BCMOE-MS-VA;US EPA,2023-08-24 00:00:00.000-08:00,Preliminary,Ungraded,4161474,,5,Metals,,2023-08-23 11:00:00.000-08:00,,,,"Lab Batch ID: VA23B9685 EMS Result ID: 39227217 , Lab comments if any:",,,,,
Danny St.Hilaire,"52 - Southern Region, Penticton",BC Lake Monitoring Network,50260656,E303413,CHILLIWACK LAKE NEAR CENTRE OF THE NORTH 1/2 OF LAKE,LAKE OR POND,49.076764,-121.436211,2040.0,m,BC Lake Monitoring Network (BCLMN),2023-04-17T11:45:00.000-08:00,2023-04-17T12:00:00.000-08:00,Danny St. Hilaire,,Generated activity from observation import file E303413.csv.0_dd95c796-e152-4e3a-8802-a0ad4c2161db.csv,false,,,,Field: Device Type,,GRB,Water - Fresh,,20,45,m,2023-04-17 12:00:00.000-08:00,2023-04-17T12:15:00.000-08:00,"nickel (Ni), total (fl. conc.)",7440-02-0,0.00005,0.00005,,mg/l,NOT_DETECTED,,,TOTAL,LAB,ALS,METN;MET-T-NP-CCMS-VA;US EPA,2023-04-20 00:00:00.000-08:00,Preliminary,Ungraded,4076632,,3,Metals,,2023-04-18 11:15:00.000-08:00,,,,"Lab Batch ID: VA23A8323 EMS Result ID: 37595777 , Lab comments if any:",,,,,
Maxwell Hoyer,"52 - Southern Region, Penticton",BC Lake Monitoring Network,50254999,E303413,CHILLIWACK LAKE NEAR CENTRE OF THE NORTH 1/2 OF LAKE,LAKE OR POND,49.076764,-121.436211,2040.0,m,BC Lake Monitoring Network (BCLMN),2021-08-18T09:00:00.000-08:00,2021-08-18T09:15:00.000-08:00,Danny St. Hilaire,,Generated activity from observation import file E303413.csv.0_dd95c796-e152-4e3a-8802-a0ad4c2161db.csv,false,,,,Field: Device Type,,GRB,Water - Fresh,,1,10,m,2021-08-18 09:00:00.000-08:00,2021-08-18T09:15:00.000-08:00,pH (acidity),-,7.05,0.1,,pH units,,,,,LAB,ALS,X330;Meter;EMS Migration,2021-08-20 00:00:00.000-08:00,Preliminary,Ungraded,3767289,,3,Physical Tests,,2021-08-19 12:00:00.000-08:00,,,,"Lab Batch ID: VA21B7592 EMS Result ID: 32247939 , Lab comments if any:",,,,,
Danny St.Hilaire,"52 - Southern Region, Penticton",BC Lake Monitoring Network,50258725,E303413,CHILLIWACK LAKE NEAR CENTRE OF THE NORTH 1/2 OF LAKE,LAKE OR POND,49.076764,-121.436211,2040.0,m,BC Lake Monitoring Network (BCLMN),2022-08-17T08:30:00.000-08:00,2022-08-17T08:45:00.000-08:00,DSH,,Generated activity from observation import file E303413.csv.0_dd95c796-e152-4e3a-8802-a0ad4c2161db.csv,false,,,,Field: Device Type,,GRB,Water - Fresh,,1,7,m,2022-08-17 08:30:00.000-08:00,2022-08-17T08:45:00.000-08:00,"thallium (Tl), total (fl. conc.)",7440-28-0,0.000002,0.000002,,mg/l,NOT_DETECTED,,,TOTAL,LAB,ALS,METT;MET-T-NP-BCMOE-MS-VA;US EPA,2022-08-19 00:00:00.000-08:00,Preliminary,Ungraded,3947880,,0,Metals,,2022-08-18 11:00:00.000-08:00,,,,"Lab Batch ID: VA22B9378 EMS Result ID: 35275008 , Lab comments if any:",,,,,
Danny St.Hilaire,"52 - Southern Region, Penticton",BC Lake Monitoring Network,50260656,E303413,CHILLIWACK LAKE NEAR CENTRE OF THE NORTH 1/2 OF LAKE,LAKE OR POND,49.076764,-121.436211,2040.0,m,BC Lake Monitoring Network (BCLMN),2023-04-17T11:45:00.000-08:00,2023-04-17T12:00:00.000-08:00,Danny St. Hilaire,,Generated activity from observation import file E303413.csv.0_dd95c796-e152-4e3a-8802-a0ad4c2161db.csv,false,,,,Field: Device Type,,GRB,Water - Fresh,,20,45,m,2023-04-17 12:00:00.000-08:00,2023-04-17T12:15:00.000-08:00,"silica, reactive, dissolved (fl. conc.)",7631-86-9,5.39,0.5,,mg/l,,,,,LAB,ALS,X160;Auto Molybdate-Blue Col.(Ascorbic);EMS Migration,2023-04-21 00:00:00.000-08:00,Preliminary,Ungraded,4076632,,3,Nutrients,,2023-04-18 11:15:00.000-08:00,,,,"Lab Batch ID: VA23A8323 EMS Result ID: 37595756 , Lab comments if any:",,,,,
Danny St.Hilaire,74 - Permittee,BC Lake Monitoring Network,50241373,E303413,CHILLIWACK LAKE NEAR CENTRE OF THE NORTH 1/2 OF LAKE,LAKE OR POND,49.076764,-121.436211,2040.0,m,BC Lake Monitoring Network (BCLMN),2019-04-04T09:30:00.000-08:00,2019-04-04T09:45:00.000-08:00,Danny St.Hilaire,W379/ N259/ M323/ TC,Generated activity from observation import file E303413.csv.0_dd95c796-e152-4e3a-8802-a0ad4c2161db.csv,false,,,,Field: Device Type,,GRB,Water - Fresh,,15,40,m,2019-04-04 09:45:00.000-08:00,2019-04-04T10:00:00.000-08:00,"manganese (Mn), total (fl. conc.)",7439-96-5,0.00229,0.00005,,mg/l,,,,TOTAL,LAB,ALS,X561;Total metals: FA- HNO3- HR-ICPMS (No Prep)Prep);US EPA,2019-04-10 00:00:00.000-08:00,Preliminary,Ungraded,3375009,,3,Metals,,2019-04-05 08:50:00.000-08:00,,,,"Lab Batch ID: L2254123 EMS Result ID: 26440576 , Lab comments if any:",,,,,
Danny St.Hilaire,"52 - Southern Region, Penticton",BC Lake Monitoring Network,50258725,E303413,CHILLIWACK LAKE NEAR CENTRE OF THE NORTH 1/2 OF LAKE,LAKE OR POND,49.076764,-121.436211,2040.0,m,BC Lake Monitoring Network (BCLMN),2022-08-17T08:30:00.000-08:00,2022-08-17T08:45:00.000-08:00,DSH,,Generated activity from observation import file E303413.csv.0_dd95c796-e152-4e3a-8802-a0ad4c2161db.csv,false,,,,Field: Device Type,,GRB,Water - Fresh,,20,45,m,2022-08-17 08:45:00.000-08:00,2022-08-17T09:00:00.000-08:00,"carbon, organic, dissolved (DOC) (fl. conc.)",-,1.17,0.5,,mg/l,,,,DISSOLVED,LAB,ALS,X067;TOC Analyzer;EMS Migration,2022-08-24 00:00:00.000-08:00,Preliminary,Ungraded,3947879,,0,Carbon,,2022-08-18 11:00:00.000-08:00,,,,"Lab Batch ID: VA22B9378 EMS Result ID: 35274917 , Lab comments if any:",,,,,
Danny St.Hilaire,74 - Permittee,BC Lake Monitoring Network,,E303413,CHILLIWACK LAKE NEAR CENTRE OF THE NORTH 1/2 OF LAKE,LAKE OR POND,49.076764,-121.436211,2040.0,m,BC Lake Monitoring Network (BCLMN),2018-08-15T12:20:00.000-08:00,2018-08-15T12:45:00.000-08:00,Danny St.Hilaire,W010/N230/M431 (EN),,,,,,Field: Device Type,,GRB,Water - Fresh,,1,,m,2018-08-15 12:20:00.000-08:00,,"Temperature, field (temp.)",,18.96,,,degC,,,,,FIELD,,,2018-08-15 12:20:00.000-08:00,Preliminary,Ungraded,,,,,,,,,,,,,,Statistical Outlier: 18.96 degC >= P95 (18.95999999999998 degC),
